ticker	company_name	sector	industry	general_description	customers	products_services	hq_location	exchange	country	logo_url
AAPL	Apple Inc.	Information Technology	Consumer Electronics	Consumer electronics and digital services	Global consumers and businesses	"iPhone, Mac, iPad, App Store"	"Cupertino, California"	NASDAQ	USA	https://logo.clearbit.com/apple.com
MSFT	Microsoft Corporation	Information Technology	Software	Cloud computing and productivity software	Enterprises and consumers	"Windows, Office 365, Azure, Teams"	"Redmond, Washington"	NASDAQ	USA	https://logo.clearbit.com/microsoft.com
GOOGL	Alphabet Inc.	Communication Services	Interactive Media	Internet search and advertising	Global users and advertisers	"Google Search, YouTube, Google Cloud, Android"	"Mountain View, California"	NASDAQ	USA	https://logo.clearbit.com/alphabet.com
GOOG	Alphabet Inc.	Communication Services	Interactive Media	Internet search and advertising	Global users and advertisers	"Google Search, YouTube, Google Cloud, Android"	"Mountain View, California"	NASDAQ	USA	https://logo.clearbit.com/alphabet.com
AMZN	Amazon.com Inc.	Consumer Discretionary	E-commerce	E-commerce and cloud computing	Global consumers and businesses	"Online retail, AWS, Prime, Advertising"	"Seattle, Washington"	NASDAQ	USA	https://logo.clearbit.com/amazon.com
TSLA	Tesla Inc.	Consumer Discretionary	Automotive	Electric vehicles and energy storage	Consumers and businesses	"Model S, Model 3, Solar panels, Batteries"	"Austin, Texas"	NASDAQ	USA	https://logo.clearbit.com/tesla.com
META	Meta Platforms Inc.	Communication Services	Interactive Media	Social media and virtual reality	Global users and advertisers	"Facebook, Instagram, WhatsApp, Oculus"	"Menlo Park, California"	NASDAQ	USA	https://logo.clearbit.com/meta.com
NVDA	NVIDIA Corporation	Information Technology	Semiconductors	Graphics processing units and AI chips	Gamers and data centers	"GeForce, RTX, Tesla, A100"	"Santa Clara, California"	NASDAQ	USA	https://logo.clearbit.com/nvidia.com
GME	GameStop Corp.	Consumer Discretionary	Retail	Video game retailer	Gamers	"Video games, Consoles, Collectibles, NFTs"	"Grapevine, Texas"	NYSE	USA	https://logo.clearbit.com/gamestop.com
AMC	AMC Entertainment Holdings	Communication Services	Media & Entertainment	Movie theater chain	Moviegoers	"Movie theaters, Concessions, Private screenings"	"Leawood, Kansas"	NYSE	USA	https://logo.clearbit.com/amctheatres.com
BB	BlackBerry Limited	Information Technology	Software	Enterprise security software	Enterprises and governments	"Cybersecurity, Endpoint management, QNX"	"Waterloo, Canada"	NYSE	Canada	https://logo.clearbit.com/blackberry.com
NOK	Nokia Corporation	Information Technology	Communications Equipment	Telecommunications infrastructure	Telecom operators	"5G equipment, Network infrastructure, Software"	"Espoo, Finland"	NYSE	Finland	https://logo.clearbit.com/nokia.com
PLTR	Palantir Technologies Inc.	Information Technology	Software	Big data analytics platform	Government and enterprises	"Gotham, Foundry, Apollo"	"Denver, Colorado"	NYSE	USA	https://logo.clearbit.com/palantir.com
HOOD	Robinhood Markets Inc.	Financials	Asset Management	Commission-free stock trading app	Retail investors	"Stock trading, Options, Crypto, Cash management"	"Menlo Park, California"	NASDAQ	USA	https://logo.clearbit.com/robinhood.com
DJT	Trump Media & Technology Group	Communication Services	Interactive Media	Social media platform	Conservative users	"Truth Social, Digital media, Streaming"	"Sarasota, Florida"	NASDAQ	USA	https://logo.clearbit.com/truthsocial.com
AMD	Advanced Micro Devices	Information Technology	Semiconductors	Computer processors and graphics	PC and server markets	"Ryzen, EPYC, Radeon, Instinct"	"Santa Clara, California"	NASDAQ	USA	https://logo.clearbit.com/amd.com
INTC	Intel Corporation	Information Technology	Semiconductors	Microprocessors and semiconductors	PC and server markets	"Core, Xeon, Atom, Optane"	"Santa Clara, California"	NASDAQ	USA	https://logo.clearbit.com/intel.com
QCOM	QUALCOMM Incorporated	Information Technology	Semiconductors	Wireless technology and semiconductors	Mobile device manufacturers	"Snapdragon, 5G modems, RF solutions"	"San Diego, California"	NASDAQ	USA	https://logo.clearbit.com/qualcomm.com
AVGO	Broadcom Inc.	Information Technology	Semiconductors	Semiconductor and infrastructure software	Technology companies	"Wireless chips, Ethernet controllers, Storage"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/broadcom.com
MU	Micron Technology Inc.	Information Technology	Semiconductors	Memory and storage semiconductors	Technology companies	"DRAM, NAND Flash, SSDs"	"Boise, Idaho"	NASDAQ	USA	https://logo.clearbit.com/micron.com
TSM	Taiwan Semiconductor	Information Technology	Semiconductors	Contract semiconductor manufacturing	Technology companies	"Advanced chip manufacturing, 3nm processes"	"Hsinchu, Taiwan"	NYSE	Taiwan	https://logo.clearbit.com/tsmc.com
TXN	Texas Instruments	Information Technology	Semiconductors	Analog and embedded processing semiconductors	Industrial and automotive	"Analog ICs, Embedded processors, Calculators"	"Dallas, Texas"	NASDAQ	USA	https://logo.clearbit.com/ti.com
ADI	Analog Devices Inc.	Information Technology	Semiconductors	Analog and mixed-signal semiconductors	Industrial and automotive	"Data converters, Amplifiers, RF products"	"Wilmington, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/analog.com
MRVL	Marvell Technology Inc.	Information Technology	Semiconductors	Data infrastructure semiconductors	Data centers and 5G	"Storage controllers, Ethernet switches, 5G chips"	"Santa Clara, California"	NASDAQ	USA	https://logo.clearbit.com/marvell.com
ARM	Arm Holdings plc	Information Technology	Semiconductors	Semiconductor intellectual property	Chip designers	"CPU designs, GPU designs, IoT processors"	"Cambridge, United Kingdom"	NASDAQ	United Kingdom	https://logo.clearbit.com/arm.com
ON	ON Semiconductor Corporation	Information Technology	Semiconductors	Power and sensing semiconductors	Automotive and industrial	"Power management, Image sensors, Connectivity"	"Phoenix, Arizona"	NASDAQ	USA	https://logo.clearbit.com/onsemi.com
SWKS	Skyworks Solutions Inc.	Information Technology	Semiconductors	Analog semiconductors	Mobile device manufacturers	"RF solutions, Power amplifiers, Antenna tuning"	"Irvine, California"	NASDAQ	USA	https://logo.clearbit.com/skyworksinc.com
QRVO	Qorvo Inc.	Information Technology	Semiconductors	RF solutions	Mobile and infrastructure	"RF components, GaN technology, IoT"	"Greensboro, North Carolina"	NASDAQ	USA	https://logo.clearbit.com/qorvo.com
LRCX	Lam Research Corporation	Information Technology	Semiconductors	Semiconductor manufacturing equipment	Chip manufacturers	"Etching, Deposition, Cleaning equipment"	"Fremont, California"	NASDAQ	USA	https://logo.clearbit.com/lamresearch.com
AMAT	Applied Materials Inc.	Information Technology	Semiconductors	Semiconductor manufacturing equipment	Chip manufacturers	"CVD, PVD, Etch, Ion Implantation"	"Santa Clara, California"	NASDAQ	USA	https://logo.clearbit.com/appliedmaterials.com
